"date","title","time","class"
"01 Januari 2019","2018, Perusahaan Teknologi Ini Fasilitasi Transaksi Ritel Online Rp 500 Miliar","19:25 WIB","Neutral"
"01 Januari 2019","Utang Ratusan Miliar Rupiah, Wim Cycle Ajukan PKPU","12:16 WIB","Negative"
"01 Januari 2019","Ini 10 Berita Ekonomi yang Paling Banyak Dibaca Tahun 2018","06:06 WIB","Neutral"
"02 Januari 2019","Tahun Ini, Angkasa Pura I Targetkan Pendapatan Rp 10 Triliun","18:45 WIB","Positive"
"02 Januari 2019","Lebihi Target, Penerimaan Negara Tahun 2018 Tembus Rp 1.942,3 Triliun","16:47 WIB","Positive"
"02 Januari 2019","Lini Bisnis Ditutup, BEI Pantau First Media","16:14 WIB","Negative"
"02 Januari 2019","Pertamina EP Targetkan Produksi Minyak di Pangkalan Susu Field 1.000 Barrel Per Hari","14:15 WIB","Positive"
"02 Januari 2019","Darmin: Pertumbuhan Ekonomi Indonesia Terjaga di Tengah Perang Dagang","13:30 WIB","Positive"
"02 Januari 2019","Awal Tahun 2019, Harga Minyak Dunia Anjlok 1 Persen","13:15 WIB","Positive"
"02 Januari 2019","Harga BBM dan Beras Punya Andil Besar terhadap Inflasi 2018","12:53 WIB","Negative"
"02 Januari 2019","Inflasi Desember 2018 0,62 Persen, Dipicu Harga Telur dan Daging Ayam","12:24 WIB","Negative"
"02 Januari 2019","Kuartal IV 2018, Pertumbuhan Ekonomi Singapura Hanya 2,2 Persen","11:05 WIB","Neutral"
"02 Januari 2019","Perdagangan Perdana 2019, IHSG Bergerak Menguat Tipis","10:01 WIB","Positive"
"02 Januari 2019","Menyambut January Effect Ini Sektor Saham yang Patut Dicermati","08:52 WIB","Positive"
"02 Januari 2019","Bisnis Perusahaan Nuklir Bill Gates Terhambat Perseteruan AS-China","08:05 WIB","Negative"
"02 Januari 2019","Berita Populer Ekonomi: Grab Dihukum Bayar Kompensasi di Vietnam","06:45 WIB","Negative"
"02 Januari 2019","Risiko Masih Tinggi, Ini Portofolio yang Bisa Menjadi Pilihan Investasi","05:50 WIB","Negative"
"03 Januari 2019","Semester I, BRI Akan Terbitkan Obligasi Rp 20 Triliun","21:46 WIB","Positive"
"03 Januari 2019","Pertamina Teken Kontrak Jual Beli dengan 11 KKKS, Impor Minyak Bisa Berkurang","20:21 WIB","Positive"
"03 Januari 2019","Merpati Airlines Ingin Ada Pergerakan Tahun Ini","19:48 WIB","Positive"
"03 Januari 2019","Bakal Akuisisi Perusahaan Asuransi, BRI Siapkan Rp 1,5 Triliun","19:18 WIB","Positive"
"03 Januari 2019","Inflasi Rendah, Rupiah Ditutup Menguat","17:21 WIB","Positive"
"03 Januari 2019","Penawaran SBR005 Mulai 10 Januari 2019, Minimal Pesanan Rp 1 Juta","15:56 WIB","Positive"
"03 Januari 2019","Jasa Marga: Sewa Tempat di Rest Area Tol Trans Jawa Mulai Rp 150.000 Per Meter","15:31 WIB","Neutral"
"03 Januari 2019","Lima KA Dicabut Subsidinya, PT KAI Tak Naikkan Harga Tiket","15:00 WIB","Positive"
"03 Januari 2019","Subsidi Dicabut, Tarif 5 KA Ekonomi Ini Tidak Naik","14:15 WIB","Positive"
"03 Januari 2019","Ingin Jadi Pusat Ekonomi Syariah Global, Ini PR Indonesia","13:01 WIB","Positive"
"03 Januari 2019","Qatar Airways Beli 5 Persen Saham China Southern Airlines","12:37 WIB","Positive"
"03 Januari 2019","Bulog Klaim Berhasil Stabilkan Harga Pangan Selama 2018","11:45 WIB","Positive"
"03 Januari 2019","Nilai Tukar Rupiah Stabil, Kunci Jaga Inflasi Tahun 2019","10:30 WIB","Positive"
"03 Januari 2019","Cukai Rokok Sumbang Rp 153 Triliun ke Kas Negara pada 2018","10:01 WIB","Positive"
"03 Januari 2019","Penjualan di China Diprediksi Turun, Saham Apple Turun Tajam","07:04 WIB","Negative"
"03 Januari 2019","Berita Populer Ekonomi: Negara Paling Inovatif di Dunia","07:01 WIB","Neutral"
"03 Januari 2019","Kondisi Ekonomi Indonesia Tahun 2019 Diprediksi Membaik","06:29 WIB","Positive"
"04 Januari 2019","Pertamina Turunkan Harga Pertalite, Pertamax, hingga Dex","22:36 WIB","Positive"
"04 Januari 2019","Jonan: Harga Premium dan Solar Tidak Naik","22:02 WIB","Positive"
"04 Januari 2019","Jonan Sebut Harga Listrik Tidak akan Naik hingga Akhir 2019","21:02 WIB","Positive"
"04 Januari 2019","Gubernur BI Optimistis Risiko Perekonomian Global Tak Setinggi 2018","17:12 WIB","Positive"
"04 Januari 2019","Gubernur BI Sebut 2 Alasan Rupiah Menguat Signifikan Hari Ini","14:26 WIB","Positive"
"04 Januari 2019","Rupiah Menguat Tipis di Awal Perdagangan Jumat","10:44 WIB","Positive"
"04 Januari 2019","Produk Mewah Mulai Terimbas Perlambatan Ekonomi China","07:00 WIB","Negative"
"04 Januari 2019","Saham Anjlok, Nilai Perusahaan Apple Jauh dari 1 Triliun Dollar AS","06:26 WIB","Negative"
"04 Januari 2019","Jasa Pembuatan Caption Zarry Hendrik, Bisnis Unik Merangkai Kata","06:10 WIB","Neutral"
"04 Januari 2019","Erick Thohir: Ekonomi Indonesia Akan Terus Tumbuh","05:54 WIB","Positive"
"04 Januari 2019","Merpati akan Pakai Pesawat Buatan Rusia di Indonesia Timur","05:12 WIB","Positive"
"05 Januari 2019","Harga BBM Nonsubsidi Turun, Ini Daftarnya","07:35 WIB","Positive"
"05 Januari 2019","Tujuh Fakta atas Opini PKS soal Ekonomi Indonesia","07:10 WIB","Neutral"
"06 Januari 2019","Termahal Sedunia, Seekor Ikan Tuna Terjual Rp 44,9 Miliar","09:42 WIB","Neutral"
