"date","title","time","class"
"01 Januari 2019","5 Alasan Pilih Kos-kosan Sebagai Resolusi Bisnis 2019","20:37 WIB","Neutral"
"01 Januari 2019","Dulu Rp100.000/Liter, Kini 131 Wilayah Nikmati Harga BBM Seperti di Jawa","18:18 WIB","Positive"
"01 Januari 2019","Realisasi Anggaran KESDM di Atas 87%, Terbesar untuk Infrastruktur Rp3,6 Triliun","18:18 WIB","Positive"
"01 Januari 2019","Making Indonesia 4.0 Wujudkan Perekonomian Terkuat di Dunia","16:23 WIB","Positive"
"01 Januari 2019","Ekspor PT Timah Tembus 33.250 M/T pada 2018","16:17 WIB","Positive"
"01 Januari 2019","Awali 2019, Harga Daging Kambing Meroket Jadi Rp115.000/Kg","11:03 WIB","Negative"
"01 Januari 2019","Geliat Prospek Bisnis Gula Semut hingga Tembus Pasar Eropa","10:21 WIB","Positive"
"01 Januari 2019","Perjalanan Rupiah 2018, Babak Belur hingga Rp15.200/USD dan Akhirnya Menguat Lagi","09:35 WIB","Positive"
"01 Januari 2019","Kenaikan Harga Emas Antam 2018 Tak Seterang 2017","08:41 WIB","Positive"
"01 Januari 2019","2019 Tahun Babi Tanah, Ini Sederet Bisnis yang Bakal Moncer","08:34 WIB","Neutral"
"01 Januari 2019","Capaian Ekonomi Pemerintahan Jokowi Jangan Dipelintir","06:30 WIB","Positive"
"01 Januari 2019","IHSG Diramal Tembus Level 6.700","05:28 WIB","Positive"
"02 Januari 2019","Belanja Subsidi Membengkak hingga Rp216,8 Triliun Selama 2018, Ini Rinciannya","21:05 WIB","Negative"
"02 Januari 2019","Awal 2019, Rupiah Masih Terlalu Murah","21:01 WIB","Negative"
"02 Januari 2019","Penerimaan Pajak 2018 Hanya Rp1.315 Triliun, Kurang Rp108 Triliun","20:19 WIB","Negative"
"02 Januari 2019","Defisit APBN 2018 Rp259,9 Triliun, 1,76% dari PDB","18:56 WIB","Negative"
"02 Januari 2019","Sri Mulyani: Pertumbuhan Ekonomi 5,15% di 2018","18:06 WIB","Positive"
"02 Januari 2019","Inflasi 3,13%, KEIN: Harga Bahan Makanan Turun 36% Selama 5 Tahun Terakhir","17:54 WIB","Positive"
"02 Januari 2019","Ada KA Pangandaran Rute Jakarta-Banjar Tarifnya Rp1 Selama Sebulan","17:53 WIB","Positive"
"02 Januari 2019","Sri Mulyani Akui Pertumbuhan Ekonomi 2018 Meleset dari Target","17:45 WIB","Negative"
"02 Januari 2019","4 Faktor Ini Bikin Rupiah Lebih Perkasa di Tahun Politik","17:14 WIB","Positive"
"02 Januari 2019","Rupiah Bergerak 2 Arah ke Rp14.457/USD","17:11 WIB","Positive"
"02 Januari 2019","Serangan Sentimen Global Bikin Ekonomi RI 2019 Membaik, Ini Penjelasannya","16:24 WIB","Positive"
"02 Januari 2019","IHSG Melemah ke 6.181 di Awal 2019","16:22 WIB","Negative"
"02 Januari 2019","Gubernur BI Yakin Rupiah Lebih Perkasa di Tahun Politik","16:13 WIB","Positive"
"02 Januari 2019","Gubernur BI Sebut Ekonomi RI 2019 Bisa Tumbuh 5,2%","15:01 WIB","Positive"
"02 Januari 2019","Masterplan Penanggulangan Bencana, Sri Mulyani: Semua Sedang Dikoordinasikan","14:06 WIB","Positive"
"02 Januari 2019","Sri Mulyani hingga Airlangga Jadi Menteri Andalan Presiden Jokowi di Bidang Ekonomi","13:22 WIB","Positive"
"02 Januari 2019","Menteri Darmin Ajak Masyarakat Berpartisipasi di Pasar Modal","13:09 WIB","Positive"
"02 Januari 2019","Inflasi Desember 0,62% Dipicu Kenaikan Harga Telur hingga Tiket Pesawat","12:57 WIB","Negative"
"02 Januari 2019","Menko Darmin Optimistis Ekonomi Indonesia Membaik pada 2019, Ini Alasannya","12:37 WIB","Positive"
"02 Januari 2019","Jaya Ancol Kurangi Porsi Saham di Jakarta Tollroad Development","12:36 WIB","Positive"
"02 Januari 2019","IHSG Loyo 16 Poin ke 6.178 di Jeda Sesi I","12:24 WIB","Negative"
"02 Januari 2019","Harga Cokelat Mahal, Perusahaan Produsen Permen Rugi 6%","12:15 WIB","Negative"
"02 Januari 2019","Menko Darmin Sebut Tekanan Inflasi Awal 2019 Bukan Harga Beras, tapi Tarif Angkutan","12:07 WIB","Negative"
"02 Januari 2019","Bank Sulselbar Rilis Obligasi Rp750 Miliar","11:56 WIB","Positive"
"02 Januari 2019","Hobi Main Games, Ninja Mampu Hasilkan Rp143 Miliar","11:35 WIB","Neutral"
"02 Januari 2019","Rupiah Bergerak Mixed pada Awal Perdagangan Tahun Ini","09:51 WIB","Negative"
"02 Januari 2019","Buka Perdagangan Saham 2019, Menko Darmin Pamer Daya Tahan Ekonomi Indonesia","09:27 WIB","Positive"
"02 Januari 2019","Awali Perdagangan 2019, IHSG Menguat 10,4 poin ke 6.204","09:15 WIB","Positive"
"02 Januari 2019","Harga Emas Antam Turun Rp2.000 pada Awal 2019","08:37 WIB","Positive"
"02 Januari 2019","Menko Darmin hingga Sri Mulyani Buka Perdagangan Saham 2019","08:29 WIB","Positive"
"02 Januari 2019","Harga BBM, Tarif Listrik dan Inflasi 2019","08:02 WIB","Negative"
